block,flat_type,level_str,level_number,unit_id,stack,area_sqm,price,tag,available
95B,2-Room Flexi,#12,12,6925,546,38,204500,,True
95B,2-Room Flexi,#12,12,6943,548,38,204500,,True
95B,2-Room Flexi,#11,11,6852,530,38,203600,MGPS 2+4,False
95B,2-Room Flexi,#11,11,6870,532,48,260100,,True
95B,2-Room Flexi,#11,11,6888,542,48,260100,,True
95B,2-Room Flexi,#11,11,6906,544,48,260100,,True
95B,2-Room Flexi,#11,11,6924,546,38,203600,,True
95B,2-Room Flexi,#11,11,6942,548,38,203600,,True
95B,2-Room Flexi,#10,10,6851,530,38,202700,,True
95B,2-Room Flexi,#10,10,6869,532,48,258900,,False
95B,2-Room Flexi,#10,10,6887,542,48,258900,,True
95B,2-Room Flexi,#10,10,6905,544,48,258900,,True
95B,2-Room Flexi,#10,10,6923,546,38,202700,,True
95B,2-Room Flexi,#10,10,6941,548,38,202700,,True
95B,2-Room Flexi,#09,9,6850,530,38,201800,,True
95B,2-Room Flexi,#09,9,6868,532,48,257700,,True
95B,2-Room Flexi,#09,9,6886,542,48,257700,MGPS 2+4,False
95B,2-Room Flexi,#09,9,6904,544,48,257700,,True
95B,2-Room Flexi,#09,9,6922,546,38,201800,,True
95B,2-Room Flexi,#09,9,6940,548,38,201800,MGPS 2+4,False
95B,2-Room Flexi,#08,8,6849,530,38,200900,MGPS 2+4,False
95B,2-Room Flexi,#08,8,6867,532,48,256500,,True
95B,2-Room Flexi,#08,8,6885,542,48,256500,,True
95B,2-Room Flexi,#08,8,6903,544,48,256500,,True
95B,2-Room Flexi,#08,8,6921,546,38,200900,,True
95B,2-Room Flexi,#08,8,6939,548,38,200900,,True
95B,2-Room Flexi,#07,7,6848,530,38,198600,,True
95B,2-Room Flexi,#07,7,6866,532,48,253600,,True
95B,2-Room Flexi,#07,7,6884,542,48,253600,,True
95B,2-Room Flexi,#07,7,6902,544,48,253600,,True
95B,2-Room Flexi,#07,7,6920,546,38,198600,,True
95B,2-Room Flexi,#07,7,6938,548,38,198600,,True
95B,2-Room Flexi,#06,6,6847,530,38,196300,,True
95B,2-Room Flexi,#06,6,6865,532,48,250700,,True
95B,2-Room Flexi,#06,6,6883,542,48,250700,,True
95B,2-Room Flexi,#06,6,6901,544,48,250700,,True
95B,2-Room Flexi,#06,6,6919,546,38,196300,,True
95B,2-Room Flexi,#06,6,6937,548,38,196300,,True
95B,2-Room Flexi,#05,5,6846,530,38,194000,,False
95B,2-Room Flexi,#05,5,6864,532,48,247800,MGPS 2+4,False
95B,2-Room Flexi,#05,5,6882,542,48,247800,,True
95B,2-Room Flexi,#05,5,6900,544,48,247800,,False
95B,2-Room Flexi,#05,5,6918,546,38,194000,,True
95B,2-Room Flexi,#05,5,6936,548,38,194000,,True
95B,2-Room Flexi,#04,4,6845,530,38,190600,,True
95B,2-Room Flexi,#04,4,6863,532,48,243400,,True
95B,2-Room Flexi,#04,4,6881,542,48,243400,,True
95B,2-Room Flexi,#04,4,6899,544,48,243400,,True
95B,2-Room Flexi,#04,4,6917,546,38,190600,,True
95B,2-Room Flexi,#04,4,6935,548,38,190600,,True
95B,2-Room Flexi,#03,3,6844,530,38,187200,,True
95B,2-Room Flexi,#03,3,6862,532,48,239000,MGPS 2+4,False
95B,2-Room Flexi,#03,3,6880,542,48,239000,,True
95B,2-Room Flexi,#03,3,6898,544,48,239000,,True
95B,2-Room Flexi,#03,3,6916,546,38,187200,,True
95B,2-Room Flexi,#03,3,6934,548,38,187200,,True
95B,2-Room Flexi,#02,2,6843,530,38,183800,,True
95B,2-Room Flexi,#02,2,6861,532,48,234600,,True
95B,2-Room Flexi,#02,2,6879,542,48,234600,,True
95B,2-Room Flexi,#02,2,6897,544,48,234600,,True
95B,2-Room Flexi,#02,2,6915,546,38,183800,,True
95B,2-Room Flexi,#02,2,6933,548,38,179200,,True
95B,"3-Room (Income Ceiling $14,000)",#19,19,7052,534,69,400400,,True
95B,"3-Room (Income Ceiling $14,000)",#19,19,7070,536,69,400400,,True
95B,"3-Room (Income Ceiling $14,000)",#19,19,7088,538,69,404700,,False
95B,"3-Room (Income Ceiling $14,000)",#19,19,7106,540,69,404700,,True
