block,floor,stack,size,price
97A,#06,584,93 sqm,"$570,900"
97A,#06,586,93 sqm,"$570,900"
97A,#06,588,93 sqm,"$570,900"
97A,#06,590,93 sqm,"$570,900"
97A,#06,592,93 sqm,"$534,300"
97A,#06,594,93 sqm,"$534,300"
97A,#06,596,93 sqm,"$570,900"
97A,#06,598,93 sqm,"$570,900"
97A,#06,600,93 sqm,"$570,900"
97A,#05,580,93 sqm,"$564,800"
97A,#05,582,93 sqm,"$564,800"
97A,#05,584,93 sqm,"$564,800"
97A,#05,586,93 sqm,"$564,800"
97A,#05,588,93 sqm,"$564,800"
97A,#05,590,93 sqm,"$564,800"
97A,#05,592,93 sqm,"$528,200"
97A,#05,594,93 sqm,"$528,200"
97A,#05,596,93 sqm,"$564,800"
97A,#05,598,93 sqm,"$564,800"
97A,#05,600,93 sqm,"$564,800"
97A,#04,580,93 sqm,"$555,600"
97A,#04,582,93 sqm,"$549,500"
97A,#04,584,93 sqm,"$549,500"
97A,#04,586,93 sqm,"$555,600"
97A,#04,588,93 sqm,"$555,600"
97A,#04,590,93 sqm,"$555,600"
97A,#04,592,93 sqm,"$512,900"
97A,#04,594,93 sqm,"$512,900"
97A,#04,596,93 sqm,"$555,600"
97A,#04,598,93 sqm,"$555,600"
97A,#04,600,93 sqm,"$555,600"
97A,#03,580,93 sqm,"$546,400"
97A,#03,582,93 sqm,"$534,200"
97A,#03,584,93 sqm,"$534,200"
97A,#03,586,93 sqm,"$546,400"
97A,#03,588,93 sqm,"$546,400"
97A,#03,590,93 sqm,"$546,400"
97A,#03,592,93 sqm,"$497,600"
97A,#03,594,93 sqm,"$497,600"
97A,#03,596,93 sqm,"$546,400"
97A,#03,598,93 sqm,"$546,400"
97A,#03,600,93 sqm,"$546,400"
97A,#02,580,93 sqm,"$537,200"
97A,#02,582,93 sqm,"$512,800"
97A,#02,584,93 sqm,"$525,000"
97A,#02,586,93 sqm,"$537,200"
97A,#02,588,93 sqm,"$537,200"
97A,#02,590,93 sqm,"$537,200"
97A,#02,592,93 sqm,"$488,400"
97A,#02,594,93 sqm,"$488,400"
97A,#02,596,93 sqm,"$537,200"
97A,#02,598,93 sqm,"$537,200"
97A,#02,600,93 sqm,"$537,200"
97B,#19,602,93 sqm,"$613,200"
97B,#19,604,93 sqm,"$613,200"
97B,#19,606,93 sqm,"$613,200"
97B,#19,608,93 sqm,"$613,200"
97B,#19,610,93 sqm,"$613,200"
97B,#19,612,93 sqm,"$613,200"
97B,#19,618,93 sqm,"$613,200"
97B,#19,620,93 sqm,"$613,200"
97B,#18,602,93 sqm,"$613,200"
97B,#18,604,93 sqm,"$613,200"
97B,#18,606,93 sqm,"$613,200"
97B,#18,608,93 sqm,"$613,200"
97B,#18,610,93 sqm,"$613,200"
97B,#18,612,93 sqm,"$613,200"
97B,#18,618,93 sqm,"$613,200"
97B,#18,620,93 sqm,"$613,200"
97B,#17,602,93 sqm,"$610,800"
97B,#17,604,93 sqm,"$610,800"
97B,#17,606,93 sqm,"$610,800"
97B,#17,608,93 sqm,"$610,800"
97B,#17,610,93 sqm,"$610,800"
97B,#17,612,93 sqm,"$610,800"
97B,#17,618,93 sqm,"$610,800"
97B,#17,620,93 sqm,"$610,800"
97B,#16,602,93 sqm,"$608,400"
97B,#16,604,93 sqm,"$608,400"
97B,#16,606,93 sqm,"$608,400"
97B,#16,608,93 sqm,"$608,400"
97B,#16,610,93 sqm,"$608,400"
97B,#16,612,93 sqm,"$608,400"
97B,#16,618,93 sqm,"$608,400"
97B,#16,620,93 sqm,"$608,400"
97B,#15,602,93 sqm,"$606,000"
97B,#15,604,93 sqm,"$606,000"
97B,#15,606,93 sqm,"$606,000"
97B,#15,608,93 sqm,"$606,000"
97B,#15,610,93 sqm,"$606,000"
97B,#15,612,93 sqm,"$606,000"
97B,#15,614,93 sqm,"$603,600"
97B,#15,616,93 sqm,"$603,600"
97B,#15,618,93 sqm,"$606,000"
97B,#15,620,93 sqm,"$606,000"
97B,#14,602,93 sqm,"$603,600"
97B,#14,604,93 sqm,"$603,600"
97B,#14,606,93 sqm,"$603,600"
97B,#14,608,93 sqm,"$603,600"
97B,#14,610,93 sqm,"$603,600"
97B,#14,612,93 sqm,"$603,600"
97B,#14,614,93 sqm,"$603,600"
97B,#14,616,93 sqm,"$603,600"
97B,#14,618,93 sqm,"$603,600"
97B,#14,620,93 sqm,"$603,600"
97B,#13,602,93 sqm,"$601,200"
97B,#13,604,93 sqm,"$601,200"
97B,#13,606,93 sqm,"$595,100"
97B,#13,608,93 sqm,"$595,100"
97B,#13,610,93 sqm,"$601,200"
97B,#13,612,93 sqm,"$601,200"
97B,#13,614,93 sqm,"$601,200"
97B,#13,616,93 sqm,"$601,200"
97B,#13,618,93 sqm,"$601,200"
97B,#13,620,93 sqm,"$601,200"
97B,#12,602,93 sqm,"$598,800"
